SampleID	Compartment	host_common_name	Phylum2	depth	phy_total	prop
Arw.11	Rhizosphere	Mudplantain	Crenarchaeota	26471	59	0.0022665457842248413
Arw.11	Rhizosphere	Mudplantain	Cyanobacteria	26471	84	0.003210939860985192
Arw.11	Rhizosphere	Mudplantain	Elusimicrobia	26471	16	6.421879721970384e-4
Arw.11	Rhizosphere	Mudplantain	Euryarchaeota	26471	71	0.0027198549410698096
Arw.11	Rhizosphere	Mudplantain	FBP	26471	6	2.6443034149289816e-4
Arw.11	Rhizosphere	Mudplantain	FCPU426	26471	5	2.2665457842248413e-4
Arw.11	Rhizosphere	Mudplantain	Fibrobacteres	26471	15	6.044122091266244e-4
Arw.11	Rhizosphere	Mudplantain	Firmicutes	26471	151	0.005741915986702931
Arw.11	Rhizosphere	Mudplantain	Fusobacteria	26471	18	7.177394983378664e-4
Arw.11	Rhizosphere	Mudplantain	GAL15	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Gemmatimonadetes	26471	928	0.03509368389241463
Arw.11	Rhizosphere	Mudplantain	GN02	26471	3	1.511030522816561e-4
Arw.11	Rhizosphere	Mudplantain	GN04	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	GOUTA4	26471	2	1.1332728921124207e-4
Arw.11	Rhizosphere	Mudplantain	Kazan-3B-28	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	KSB3	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Lentisphaerae	26471	5	2.2665457842248413e-4
Arw.11	Rhizosphere	Mudplantain	MVS-104	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	NC10	26471	1	7.555152614082804e-5
Arw.11	Rhizosphere	Mudplantain	Nitrospirae	26471	67	0.0025687518887881535
Arw.11	Rhizosphere	Mudplantain	NKB19	26471	14	5.666364460562103e-4
Arw.11	Rhizosphere	Mudplantain	OC31	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	OD1	26471	3	1.511030522816561e-4
Arw.11	Rhizosphere	Mudplantain	OP11	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	OP3	26471	15	6.044122091266244e-4
Arw.11	Rhizosphere	Mudplantain	OP8	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	PAUC34f	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Planctomycetes	26471	1163	0.04397098821396192
Arw.11	Rhizosphere	Mudplantain	SBR1093	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	Spirochaetes	26471	129	0.004910849199153823
Arw.11	Rhizosphere	Mudplantain	SR1	26471	1	7.555152614082804e-5
Arw.11	Rhizosphere	Mudplantain	Tenericutes	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	TM6	26471	1	7.555152614082804e-5
Arw.11	Rhizosphere	Mudplantain	TM7	26471	6	2.6443034149289816e-4
Arw.11	Rhizosphere	Mudplantain	TPD-58	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	unclassified	26471	2	1.1332728921124207e-4
Arw.11	Rhizosphere	Mudplantain	Verrucomicrobia	26471	2066	0.07808250226654578
Arw.11	Rhizosphere	Mudplantain	WPS-2	26471	28	0.0010954971290420066
Arw.11	Rhizosphere	Mudplantain	WS1	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	WS2	26471	24	9.443940767603506e-4
Arw.11	Rhizosphere	Mudplantain	WS3	26471	114	0.004344212753097613
Arw.11	Rhizosphere	Mudplantain	WS4	26471	0	3.777576307041402e-5
Arw.11	Rhizosphere	Mudplantain	WS5	26471	0	3.777576307041402e-5
