SampleID	host_common_name	host_subject_id	study	Site	Compartment	From	Experiment	LatinName	MDS1	MDS2	MDS3	MDS4	MDS5
Mix.20	Rice	NA	domestication	Sacramento	Endosphere	N	Mix	Oryza sativa	1.324552650003586	-0.6552408729668256	0.3359428242641266	0.7729287796527843	1.4121713459118492
Mix.21	Rice	NA	domestication	Sacramento	Endosphere	N	Mix	Oryza sativa	1.1328693704923647	-0.7370684177846274	0.3970422598018185	0.9317145982943466	1.839023057550974
Mix.22	Rice	NA	domestication	Sacramento	Endosphere	N	Mix	Oryza sativa	1.2993242110285093	-0.6732353011183672	0.4135958677327397	0.8680071660618486	1.5558461356276456
Mix.23	Rice	NA	domestication	Sacramento	Bulk Soil	N	Mix	Oryza sativa	-0.8760582172293445	-0.9811723115074968	0.6832709926828681	0.5071155697202172	-1.062087426323477
Mix.24	Rice	NA	domestication	Sacramento	Bulk Soil	N	Mix	Oryza sativa	-0.9004972633906545	-0.8962329373160861	0.6937983559139989	0.3975853546879993	-0.8820427742094231
Mix.3	Rice	NA	domestication	Sacramento	Bulk Soil	N	Mix	Oryza sativa	-0.614861853950549	-0.9179151536456951	0.8847790790980126	0.5389944111398054	-1.0509800990794618
Mix.33	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.6499836744976879	0.5445425284334418	0.6738722165653612	-0.6798245000210231	0.6634023618718468
Mix.34	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.5457428563609453	0.6716591444689353	0.5236008021925351	-0.8489757220516789	0.5157052596254923
Mix.35	Rice	NA	domestication	Arbuckle	Rhizosphere	A	Mix	Oryza sativa	-0.2970796445236344	0.5069537511101423	0.6138276734542225	-0.8756261791875543	0.5522568297634605
Mix.36	Rice	NA	domestication	Arbuckle	Endosphere	A	Mix	Oryza sativa	0.8285281254602018	0.6082993226250556	0.559092444879638	-0.8414698010652957	-0.4933045700132532
Mix.37	Rice	NA	domestication	Arbuckle	Endosphere	A	Mix	Oryza sativa	0.9880723338454025	0.479065586448533	0.5043009299715682	-0.7645853818375798	-0.5424900827641733
Mix.38	Rice	NA	domestication	Arbuckle	Endosphere	A	Mix	Oryza sativa	0.6553781090499431	0.7567757195206061	0.5075763262133645	-0.976024006290626	-0.548998449550945
Mix.39	Rice	NA	domestication	Arbuckle	Bulk Soil	A	Mix	Oryza sativa	-0.7262971251343154	0.579936440014528	0.5681219919019159	-0.7891172493588646	0.7525773868298141
Mix.4	Rice	NA	domestication	Arbuckle	Bulk Soil	A	Mix	Oryza sativa	-0.5283352370246682	0.3611039913706157	0.4617601358049604	-0.7080489059298098	0.8117435287688841
